preco_imov;id_imov;cidade;endereco;titulo_imov;vaga;banheiro;condominio;iptu_mes;metros;valor_m2;bairro
R$ 1.484.000; 1RUQ6KB;São Paulo;Rua dos Pinheiros;Apartamento à venda em Pinheiros com 68 m², 2 quartos, 1 vaga;1;2;R$ 530; R$ 152,50 ;68;R$ 21.824;Pinheiros       
R$ 1.200.000; 1NDUYA8;São Paulo;Rua Camburiú;Apartamento à venda em Alto da Lapa com 115 m², 2 quartos, 1 suíte, 2 vagas;2;2;R$ 1.195; R$ 391,00 ;115;R$ 10.435;   Alto da Lapa       
R$ 1.160.000; 1UT6HT2;São Paulo;Rua Cunha Gago;Apartamento à venda em Pinheiros com 60 m², 2 quartos, 1 suíte, 1 vaga;1;2;R$ 984; R$ 276,00 ;60;R$ 19.333;   Pinheiros       
R$ 580.000; NGVFTG;São Paulo;Rua Adelino de Almeida Castilho;Apartamento à venda em Tatuapé com 68 m², 2 quartos, 1 suíte, 1 vaga;1;2;R$ 400; R$ -   ;68;R$ 8.529;   Tatuapé         
R$ 795.000; WBLJ5Z;São Paulo;Rua Araçoiaba;Apartamento à venda em Saúde com 64 m², 2 quartos, 1 suíte, 1 vaga;1;2;R$ 791; R$ 266,67 ;64;R$ 12.422;   Saúde         
R$ 1.000.000; DQNL6L;São Paulo;Avenida Rebouças;Apartamento à venda em Pinheiros com 40 m², 1 quarto, 1 suíte, 1 vaga;1;1;R$ 740; R$ 220,00 ;40;R$ 25.000;   Pinheiros       
R$ 670.000; SN4SBY;São Paulo;Alameda dos Tupiniquins;Apartamento à venda em Moema Índios com 55 m², 2 quartos, 1 vaga;1;2;R$ 858; R$ 208,00 ;55;R$ 12.182;   Moema Índios       
R$ 650.000; AF20SW;São Paulo;Rua Cipriano Barata;Apartamento à venda em Ipiranga com 65 m², 2 quartos, 1 suíte, 1 vaga;1;2;R$ 630; R$ 158,33 ;65;R$ 10.000;   Ipiranga         
R$ 1.480.000; 1R7EQ7I;São Paulo;Rua Estevão Baião;Apartamento à venda em Campo Belo com 123 m², 3 quartos, 1 suíte, 2 vagas;2;2;R$ 1.030; R$ 500,00 ;123;R$ 12.033;   Campo Belo         
R$ 1.250.000; 16LC6UA;São Paulo;Avenida Bosque da Saúde;Apartamento à venda em Bosque da Saúde com 105 m², 3 quartos, 1 suíte, 2 vagas;2;3;R$ 809; R$ 29,75 ;105;R$ 11.905;   Bosque da Saúde         
R$ 590.000; 1LV5WVV;São Paulo;Rua Retiro;Apartamento à venda em Tatuapé com 68 m², 3 quartos, 1 suíte, 1 vaga;1;2;R$ 490; R$ 41,67 ;68;R$ 8.676;   Tatuapé         
