,preco_imov,id_imov,cidade,endereco,titulo_imov,vaga,banheiro,condominio,iptu
0,R$ 390.000,Imóvel 122XXGY,Apartamento em Belo Horizonte,Rua José Mendes de Carvalho,"Apartamento à venda em Castelo com 115 m², 4 quartos, 1 suíte, 2 vagas","4 quartos
1 suíte",2 vagas,R$ 325/mês,R$ 1.260/ano
0,R$ 330.000,Imóvel PV674P,Apartamento em Belo Horizonte,Rua Geraldo Faria de Souza,"Apartamento à venda em Sagrada Família com 106 m², 3 quartos, 1 suíte, 1 vaga","3 quartos
1 suíte",1 vaga,R$ 330/mês,R$ 133/ano
0,R$ 340.000,Imóvel H0JAZ5,Apartamento em Belo Horizonte,Rua Castelo de São Jorge,"Apartamento à venda em Castelo com 75 m², 3 quartos, 1 suíte, 2 vagas","3 quartos
1 suíte",2 vagas,R$ 380/mês,R$ 145/ano
0,R$ 1.190.000,Imóvel B817P6,Apartamento em Belo Horizonte,Rua Boa Esperança,"Apartamento à venda em Sion com 150 m², 4 quartos, 1 suíte, 2 vagas","4 quartos
1 suíte",2 vagas,R$ 700/mês,R$ 5.786/ano
0,R$ 480.000,Imóvel 14D84PD,Apartamento em Belo Horizonte,Rua Ulisses Marcondes Escobar,"Apartamento à venda em Buritis com 100 m², 3 quartos, 1 suíte, 2 vagas","3 quartos
1 suíte",2 vagas,R$ 550/mês,R$ 177/ano
0,R$ 490.000,Imóvel 1O0HA8O,Apartamento em Belo Horizonte,Avenida Miguel Perrela,"Apartamento à venda em Castelo com 55 m², 3 quartos, 1 suíte, 2 vagas","3 quartos
1 suíte",2 vagas,R$ 530/mês,R$ 1.700/ano
0,R$ 419.000,Imóvel 6Q6DDZ,Apartamento em Belo Horizonte,Rua Elson Nunes de Souza,"Apartamento à venda em Castelo com 125 m², 2 quartos, 1 suíte, 2 vagas","2 quartos
1 suíte",2 vagas,R$ 350/mês,R$ 180/ano
0,R$ 420.000,Imóvel DXGYSJ,Apartamento em Belo Horizonte,Rua Cecília Fonseca Coutinho,"Apartamento à venda em Castelo com 80 m², 2 quartos, 1 suíte, 2 vagas","2 quartos
1 suíte",2 vagas,R$ 360/mês,R$ 1.000/ano
0,R$ 730.000,Imóvel 10NTRTL,Apartamento em Belo Horizonte,Rua Venezuela,"Apartamento à venda em Sion com 64 m², 2 quartos, 1 suíte, 2 vagas","2 quartos
1 suíte",2 vagas,R$ 900/mês,R$ 3.400/ano
0,R$ 500.000,Imóvel A641AS,Apartamento em Belo Horizonte,Rua Desembargador José Satyro,"Apartamento à venda em Castelo com 125 m², 3 quartos, 1 suíte, 2 vagas","3 quartos
1 suíte",2 vagas,R$ 350/mês,R$ 151/mês
0,R$ 310.000,Imóvel 30TA6K,Apartamento em Belo Horizonte,Rua Pitangui,"Apartamento à venda em Sagrada Família com 75 m², 3 quartos, 1 suíte, 1 vaga","3 quartos
1 suíte",1 vaga,R$ 250/mês,R$ 84/ano
0,R$ 480.000,Imóvel 1FNJ44E,Apartamento em Belo Horizonte,Rua Marechal Hermes,"Apartamento à venda em Gutierrez com 120 m², 3 quartos, 1 suíte, 3 vagas","3 quartos
1 suíte",3 vagas,R$ 350/mês,R$ 250/ano
0,R$ 398.000,Imóvel 1FBXD4Q,Apartamento em Belo Horizonte,Rua Santo Amaro,"Apartamento à venda em Sagrada Família com 100 m², 3 quartos, 1 suíte, 2 vagas","3 quartos
1 suíte",2 vagas,R$ 350/mês,R$ 1.800/ano
0,R$ 490.000,Imóvel 1GC9143,Apartamento em Belo Horizonte,Rua Sílvio de Oliveira Martins,"Apartamento à venda em Buritis com 100 m², 3 quartos, 1 suíte, 2 vagas","3 quartos
1 suíte",2 vagas,R$ 400/mês,R$ 181/ano
0,R$ 500.000,Imóvel 8R1HNZ,Apartamento em Belo Horizonte,Rua Professor Moraes,"Apartamento à venda em Savassi com 76 m², 2 quartos, 1 suíte, 1 vaga","2 quartos
1 suíte",1 vaga,R$ 315/mês,R$ 2.000/ano
0,R$ 545.000,Imóvel IMGCRM,Apartamento em Belo Horizonte,Rua Cônsul Walter,"Apartamento à venda em Buritis com 95 m², 3 quartos, 1 suíte, 2 vagas","3 quartos
1 suíte",2 vagas,R$ 486/mês,R$ 3.108/ano
0,R$ 510.000,Imóvel KA3GYC,Apartamento em Belo Horizonte,Rua Engenheiro Aluísio Rocha,"Apartamento à venda em Buritis com 100 m², 3 quartos, 1 suíte, 2 vagas","3 quartos
1 suíte",2 vagas,R$ 280/mês,R$ 2.013/ano
0,R$ 875.000,Imóvel 155V44R,Apartamento em Belo Horizonte,Rua Venezuela,"Apartamento à venda em Sion com 106 m², 3 quartos, 1 suíte, 2 vagas","3 quartos
1 suíte",2 vagas,R$ 600/mês,R$ 3.520/ano
0,R$ 430.000,Imóvel I7AILP,Apartamento em Belo Horizonte,Rua Herculano de Freitas,"Apartamento à venda em Gutierrez com 90 m², 3 quartos, 1 suíte, 1 vaga","3 quartos
1 suíte",1 vaga,R$ 400/mês,R$ 1.600/ano
0,R$ 430.000,Imóvel 1XMNJZ1,Apartamento em Belo Horizonte,Rua General Carneiro,"Apartamento à venda em Sagrada Família com 95 m², 3 quartos, 1 suíte, 2 vagas","3 quartos
1 suíte",2 vagas,R$ 380/mês,R$ 1.400/ano
