,preco_imov,id_imov,cidade,endereco,titulo_imov,vaga,banheiro,condominio,iptu
0,R$ 535.000,Imóvel PEXGS5,Apartamento em Porto Alegre,Avenida Assis Brasil,"Apartamento à venda em Niterói com 72 m², 3 quartos","3 quartos
sem suíte",1 Banheiro,R$ 420/mês,Isento
0,R$ 180.000,Imóvel S08XSE,Apartamento em Porto Alegre,Rua Professor Cristiano Fischer,"Apartamento à venda em Jardim Salso com 62 m², 2 quartos, 1 vaga","2 quartos
sem suíte",1 vaga,R$ 240/mês,R$ 66/ano
0,R$ 1.100.000,Imóvel 1RJT5ZO,Apartamento em Porto Alegre,Rua São Luís,"Apartamento à venda em Santana com 234 m², 3 quartos, 1 suíte, 2 vagas","3 quartos
1 suíte",2 vagas,R$ 537/mês,R$ 2.912/ano
0,R$ 350.000,Imóvel HB6LN8,Apartamento em Porto Alegre,Rua Ari Marinho,"Apartamento à venda em Higienópolis com 68 m², 2 quartos","2 quartos
sem suíte",1 Banheiro,R$ 300/mês,R$ 33/mês
0,R$ 125.000,Imóvel VVX91J,Apartamento em Porto Alegre,Rua Orfanotrófio,"Apartamento à venda em Santa Tereza com 49 m², 2 quartos, 1 vaga","2 quartos
sem suíte",1 vaga,R$ 230/mês,R$ 230/ano
0,R$ 560.000,Imóvel 83ZSVT,Apartamento em Porto Alegre,Rua Anita Garibaldi,"Apartamento à venda em Boa Vista com 36 m², 1 quarto, 1 suíte, 1 vaga","1 quarto
1 suíte",1 vaga,R$ 335/mês,R$ 50/ano
0,R$ 130.000,Imóvel 1FMTS13,Apartamento em Porto Alegre,Rua Gaspar Martins,"Apartamento à venda em Floresta com 74 m², 3 quartos","3 quartos
sem suíte",1 Banheiro,R$ 120/mês,R$ 8/ano
0,R$ 280.000,Imóvel 1YXZTPV,Apartamento em Porto Alegre,Rua Ari Marinho,"Apartamento à venda em Higienópolis com 65 m², 2 quartos","2 quartos
sem suíte",2 Banheiros,R$ 300/mês,R$ 49/ano
0,R$ 1.190.000,Imóvel 79BCZH,Apartamento em Porto Alegre,Rua Duque de Caxias,"Apartamento à venda em Centro com 190 m², 3 quartos, 1 suíte, 1 vaga","3 quartos
1 suíte",1 vaga,R$ 1.659/mês,R$ 3.810/ano
0,R$ 950.000,Imóvel S7WV4D,Apartamento em Porto Alegre,Rua Barão de Ubá,"Apartamento à venda em Bela Vista com 105 m², 3 quartos, 1 suíte, 2 vagas","3 quartos
1 suíte",2 vagas,R$ 900/mês,R$ 1.800/mês
0,R$ 1.690.000,Imóvel 1B8F5O0,Apartamento em Porto Alegre,Rua Pedro Chaves Barcelos,"Apartamento à venda em Bela Vista com 103 m², 2 quartos, 2 suítes, 2 vagas","2 quartos
2 suítes",2 vagas,R$ 0/mês,Isento
0,R$ 1.200.000,Imóvel AJ93VN,Apartamento em Porto Alegre,Rua Vinte e Quatro de Outubro,"Apartamento à venda em Moinhos de Vento com 221 m², 3 quartos, 1 suíte, 1 vaga","3 quartos
1 suíte",1 vaga,R$ 1.300/mês,R$ 391/mês
0,R$ 235.000,Imóvel 18WF0RT,Apartamento em Porto Alegre,Avenida Jacuí,"Apartamento à venda em Santa Tereza com 76 m², 4 quartos, 1 vaga","4 quartos
sem suíte",1 vaga,R$ 340/mês,R$ 400/ano
0,R$ 300.000,Imóvel 1E45IEE,Apartamento em Porto Alegre,Avenida Protásio Alves,"Apartamento à venda em Santa Cecília com 99 m², 3 quartos","3 quartos
sem suíte",1 Banheiro,R$ 312/mês,R$ 66/ano
0,R$ 700.000,Imóvel 19QILEF,Apartamento em Porto Alegre,Avenida Cristóvão Colombo,"Apartamento à venda em Floresta com 238 m², 3 quartos, 1 suíte, 1 vaga","3 quartos
1 suíte",1 vaga,R$ 650/mês,R$ 1.200/mês
0,R$ 649.000,Imóvel 52FUTP,Apartamento em Porto Alegre,Rua Felizardo Furtado,"Apartamento à venda em Petrópolis com 65 m², 3 quartos, 1 suíte, 2 vagas","3 quartos
1 suíte",2 vagas,R$ 504/mês,R$ 800/mês
