,preco_imov,id_imov,cidade,endereco,titulo_imov,vaga,banheiro,condominio,iptu
0,R$ 340.000,Imóvel E11NI0,Apartamento em Rio de Janeiro,Avenida Dom Hélder Câmara,"Apartamento à venda em Penha com 49 m², 2 quartos, 1 vaga","2 quartos
sem suíte",1 vaga,R$ 413/mês,R$ 240/ano
0,R$ 1.150.000,Imóvel R37EZV,Apartamento em Rio de Janeiro,Rua Otaviano Hudson,"Apartamento à venda em Copacabana com 82 m², 3 quartos, 1 suíte, 1 vaga","3 quartos
1 suíte",1 vaga,R$ 1.212/mês,R$ 307/mês
0,R$ 1.200.000,Imóvel MOIQAX,Apartamento em Rio de Janeiro,Rua Paissandu,"Apartamento à venda em Laranjeiras com 85 m², 3 quartos, 1 vaga","3 quartos
sem suíte",1 vaga,R$ 1.600/mês,R$ 2.143/ano
0,R$ 480.000,Imóvel QOZQAQ,Apartamento em Rio de Janeiro,Avenida Prado Júnior,"Apartamento à venda em Copacabana com 30 m², 1 quarto","1 quarto
sem suíte",1 Banheiro,R$ 615/mês,R$ 82/mês
0,R$ 1.350.000,Imóvel 1Q2R4LP,Apartamento em Rio de Janeiro,Rua Pereira da Silva,"Apartamento à venda em Laranjeiras com 90 m², 3 quartos, 1 suíte, 1 vaga","3 quartos
1 suíte",1 vaga,R$ 1.400/mês,R$ 1.994/ano
0,R$ 960.000,Imóvel AFGVT1,Apartamento em Rio de Janeiro,Rua Mário Portela,"Apartamento à venda em Laranjeiras com 80 m², 3 quartos, 1 vaga","3 quartos
sem suíte",1 vaga,R$ 1.200/mês,R$ 177/mês
0,R$ 460.000,Imóvel 1W9QH58,Apartamento em Rio de Janeiro,Avenida Nossa Senhora de Copacabana,"Apartamento à venda em Copacabana com 38 m², 1 quarto, 1 suíte","1 quarto
1 suíte",1 Banheiro,R$ 500/mês,Isento
0,R$ 980.000,Imóvel 1OC2ZYX,Apartamento em Rio de Janeiro,Rua Mário Portela,"Apartamento à venda em Laranjeiras com 80 m², 3 quartos, 1 vaga","3 quartos
sem suíte",1 vaga,R$ 1.486/mês,R$ 177/mês
0,R$ 370.000,Imóvel 1ALRZT6,Apartamento em Rio de Janeiro,Avenida Nossa Senhora de Copacabana,"Apartamento à venda em Copacabana com 16 m², 1 quarto","1 quarto
sem suíte",1 Banheiro,R$ 638/mês,Isento
0,R$ 1.800.000,Imóvel VIAL82,Apartamento em Rio de Janeiro,Rua Timóteo da Costa,"Apartamento à venda em Leblon com 103 m², 2 quartos, 1 suíte, 1 vaga","2 quartos
1 suíte",1 vaga,R$ 1.687/mês,R$ 528/mês
0,R$ 280.000,Imóvel XBWW42,Apartamento em Rio de Janeiro,Avenida Nossa Senhora de Copacabana,"Apartamento à venda em Copacabana com 15 m², 1 quarto","1 quarto
sem suíte",1 Banheiro,R$ 650/mês,Isento
0,R$ 510.000,Imóvel UPK8KP,Apartamento em Rio de Janeiro,Rua São Clemente,"Apartamento à venda em Botafogo com 41 m², 1 quarto, 1 suíte","1 quarto
1 suíte",1 Banheiro,R$ 545/mês,R$ 85/mês
0,R$ 1.522.500,Imóvel DCG67K,Apartamento em Rio de Janeiro,Rua Jardim Botânico,"Apartamento à venda em Jardim Botânico com 99 m², 3 quartos, 1 suíte, 1 vaga","3 quartos
1 suíte",1 vaga,R$ 1.200/mês,R$ 2.600/ano
0,R$ 1.390.000,Imóvel UNE1IA,Apartamento em Rio de Janeiro,Avenida Ataulfo de Paiva,"Apartamento à venda em Leblon com 65 m², 2 quartos","2 quartos
sem suíte",1 Banheiro,R$ 850/mês,R$ 315/mês
0,R$ 1.730.000,Imóvel WWTO5M,Apartamento em Rio de Janeiro,Rua Farme de Amoedo,"Apartamento à venda em Ipanema com 55 m², 1 quarto","1 quarto
sem suíte",1 Banheiro,R$ 1.200/mês,Isento
0,R$ 570.000,Imóvel 1YWOL72,Apartamento em Rio de Janeiro,Rua Siqueira Campos,"Apartamento à venda em Copacabana com 43 m², 1 quarto, 1 suíte","1 quarto
1 suíte",1 Banheiro,R$ 648/mês,R$ 126/mês
0,R$ 1.700.000,Imóvel 1BD4SOK,Apartamento em Rio de Janeiro,Rua Professor Manuel Ferreira,"Apartamento à venda em Gávea com 94 m², 2 quartos, 1 suíte, 1 vaga","2 quartos
1 suíte",1 vaga,R$ 1.500/mês,R$ 3.919/ano
0,R$ 1.150.000,Imóvel T6CVXH,Apartamento em Rio de Janeiro,Avenida Epitácio Pessoa,"Apartamento à venda em Lagoa com 68 m², 2 quartos, 2 suítes, 1 vaga","2 quartos
2 suítes",1 vaga,R$ 1.157/mês,R$ 340/mês
0,R$ 950.000,Imóvel 7EEOP6,Apartamento em Rio de Janeiro,Rua Dona Mariana,"Apartamento à venda em Botafogo com 70 m², 2 quartos, 1 suíte, 1 vaga","2 quartos
1 suíte",1 vaga,R$ 1.045/mês,R$ 2.250/ano
0,R$ 1.230.000,Imóvel 117CSOB,Apartamento em Rio de Janeiro,Rua Visconde de Pirajá,"Apartamento à venda em Ipanema com 64 m², 2 quartos","2 quartos
sem suíte",1 Banheiro,R$ 1.130/mês,R$ 291/mês
0,R$ 780.000,Imóvel 1YS2EQ2,Apartamento em Rio de Janeiro,Rua Marquês de Abrantes,"Apartamento à venda em Flamengo com 63 m², 2 quartos, 1 suíte, 1 vaga","2 quartos
1 suíte",1 vaga,R$ 1.200/mês,R$ 1.200/ano
