,preco_imov,id_imov,cidade,endereco,titulo_imov,vaga,banheiro,etc_apart,condominio,iptu
0,R$ 1.484.000,Imóvel 1RUQ6KB,Apartamento em São Paulo,Rua dos Pinheiros,"Apartamento à venda em Pinheiros com 68 m², 2 quartos, 1 vaga",1 vaga,2 Banheiros,Lavabo,R$ 530/mês,R$ 1.830/ano
0,R$ 1.200.000,Imóvel 1NDUYA8,Apartamento em São Paulo,Rua Camburiú,"Apartamento à venda em Alto da Lapa com 115 m², 2 quartos, 1 suíte, 2 vagas",2 vagas,2 Banheiros,Posição da unidade,R$ 1.195/mês,R$ 391/mês
0,R$ 1.160.000,Imóvel 1UT6HT2,Apartamento em São Paulo,Rua Cunha Gago,"Apartamento à venda em Pinheiros com 60 m², 2 quartos, 1 suíte, 1 vaga",1 vaga,2 Banheiros,Indisponivel,R$ 984/mês,R$ 276/mês
0,R$ 580.000,Imóvel NGVFTG,Apartamento em São Paulo,Rua Adelino de Almeida Castilho,"Apartamento à venda em Tatuapé com 68 m², 2 quartos, 1 suíte, 1 vaga",1 vaga,2 Banheiros,Posição da unidade,R$ 400/mês,Isento
0,R$ 795.000,Imóvel WBLJ5Z,Apartamento em São Paulo,Rua Araçoiaba,"Apartamento à venda em Saúde com 64 m², 2 quartos, 1 suíte, 1 vaga",1 vaga,2 Banheiros,Indisponivel,R$ 791/mês,R$ 3.200/ano
0,R$ 1.000.000,Imóvel DQNL6L,Apartamento em São Paulo,Avenida Rebouças,"Apartamento à venda em Pinheiros com 40 m², 1 quarto, 1 suíte, 1 vaga",1 vaga,1 Banheiro,Posição da unidade,R$ 740/mês,R$ 220/mês
0,R$ 670.000,Imóvel SN4SBY,Apartamento em São Paulo,Alameda dos Tupiniquins,"Apartamento à venda em Moema Índios com 55 m², 2 quartos, 1 vaga",1 vaga,2 Banheiros,Lavabo,R$ 858/mês,R$ 208/mês
0,R$ 650.000,Imóvel AF20SW,Apartamento em São Paulo,Rua Cipriano Barata,"Apartamento à venda em Ipiranga com 65 m², 2 quartos, 1 suíte, 1 vaga",1 vaga,2 Banheiros,Indisponivel,R$ 630/mês,R$ 1.900/ano
0,R$ 1.480.000,Imóvel 1R7EQ7I,Apartamento em São Paulo,Rua Estevão Baião,"Apartamento à venda em Campo Belo com 123 m², 3 quartos, 1 suíte, 2 vagas",2 vagas,2 Banheiros,Lavabo,R$ 1.030/mês,R$ 6.000/ano
0,R$ 1.250.000,Imóvel 16LC6UA,Apartamento em São Paulo,Avenida Bosque da Saúde,"Apartamento à venda em Bosque da Saúde com 105 m², 3 quartos, 1 suíte, 2 vagas",2 vagas,3 Banheiros,Lavabo,R$ 809/mês,R$ 357/ano
